"date","mmwr_week","location","distributed","distributed_janssen","distributed_moderna","distributed_pfizer","distributed_novavax","distributed_unk_manuf","dist_per_100k","distributed_per_100k_5plus","distributed_per_100k_12plus","distributed_per_100k_18plus","distributed_per_100k_65plus","administered","administered_5plus","administered_12plus","administered_18plus","administered_65plus","administered_janssen","administered_moderna","administered_pfizer","administered_novavax","administered_unk_manuf","admin_per_100k","admin_per_100k_5plus","admin_per_100k_12plus","admin_per_100k_18plus","admin_per_100k_65plus","recip_administered","administered_dose1_recip","administered_dose1_pop_pct","administered_dose1_recip_5plus","administered_dose1_recip_5pluspop_pct","administered_dose1_recip_12plus","administered_dose1_recip_12pluspop_pct","administered_dose1_recip_18plus","administered_dose1_recip_18pluspop_pct","administered_dose1_recip_65plus","administered_dose1_recip_65pluspop_pct","series_complete_yes","series_complete_pop_pct","series_complete_5plus","series_complete_5pluspop_pct","series_complete_12plus","series_complete_12pluspop","series_complete_18plus","series_complete_18pluspop","series_complete_65plus","series_complete_65pluspop","series_complete_janssen","series_complete_moderna","series_complete_pfizer","series_complete_novavax","series_complete_unk_manuf","series_complete_janssen_5plus","series_complete_moderna_5plus","series_complete_pfizer_5plus","series_complete_unk_manuf_5plus","series_complete_janssen_12plus","series_complete_moderna_12plus","series_complete_pfizer_12plus","series_complete_unk_manuf_1","series_complete_janssen_18plus","series_complete_moderna_18plus","series_complete_pfizer_18plus","series_complete_unk_manuf_2","series_complete_janssen_65plus","series_complete_moderna_65plus","series_complete_pfizer_65plus","series_complete_unk_manuf_3","additional_doses","additional_doses_vax_pct","additional_doses_5plus","additional_doses_5plus_vax_pct","additional_doses_12plus","additional_doses_12plus_vax_pct","additional_doses_18plus","additional_doses_18plus_vax_pct","additional_doses_50plus","additional_doses_50plus_vax_pct","additional_doses_65plus","additional_doses_65plus_vax_pct","additional_doses_moderna","additional_doses_pfizer","additional_doses_janssen","additional_doses_unk_manuf","second_booster","second_booster_50plus","second_booster_50plus_vax_pct","second_booster_65plus","second_booster_65plus_vax_pct","second_booster_janssen","second_booster_moderna","second_booster_pfizer","second_booster_unk_manuf","administered_bivalent","admin_bivalent_pfr","admin_bivalent_mod","dist_bivalent_pfr","dist_bivalent_mod","bivalent_booster_5plus","bivalent_booster_5plus_pop_pct","bivalent_booster_12plus","bivalent_booster_12plus_pop_pct","bivalent_booster_18plus","bivalent_booster_18plus_pop_pct","bivalent_booster_65plus","bivalent_booster_65plus_pop_pct"
"2023-02-22T00:00:00.000","8","NC","29631490","959600","10926580","17706010","39300","0","282525","299965","329769","361917","1692170","19412597","19294036","18645534","17550598","5602003","523727","7231168","11654573","1672","1457","185092","195317","207506","214362","319914","19345008","9678183","92.3","9617924","95","9272088","95","8697863","95","2475045","95","7043872","67.2","7014770","71","6767715","75.3","6345587","77.5","1833853","95","492701","2458681","4080295","608","538","492684","2446156","4074791","531","492672","2444010","3829918","507","491146","2439688","3413674","480","56012","864181","913500","95","2245800","31.9","2244296","32","2204984","32.6","2119378","33.4","1459896","41.4","850139","46.4","924284","1291243","29936","229",,"496813","34","318568","37.5","196","270019","338751","56","1556016","971966","584050","2463130","1229000","1516101","15.3","1483838","16.5","1433741","17.5","680257","38.8"
"2023-02-22T00:00:00.000","8","MO","15362075","441000","5737760","9166015","17300","0","250302","266271","293409","322269","1446470","10441313","10374681","10068954","9525053","3248701","254107","3761007","6422541","966","2692","170125","179824","192313","199819","305893","10423409","4256083","69.3","4224736","73.2","4071894","77.8","3817849","80.1","1056015","95","3624391","59.1","3607321","62.5","3485994","66.6","3269426","68.6","941654","88.7","241334","1226375","2146674","399","1410","241318","1219409","2144793","1403","241300","1218814","2024166","1317","241040","1217889","1809113","1003","40400","427609","473371","231","1721339","47.5","1720405","47.7","1692500","48.6","1630675","49.9","1122877","61.8","671172","71.3","680624","1022104","18267","290",,"588190","52.4","400077","59.6","234","291339","436913","51","872119","561348","310771","1254690","621300","864558","15","848136","16.2","824417","17.3","417282","39.3"
"2023-02-22T00:00:00.000","8","TN","16881500","533300","6260140","10072060","16000","0","247197","262928","289286","317374","1476440","11247935","11208542","10953045","10431905","3506125","270844","4294074","6603157","1721","78139","164704","174572","187695","196121","306642","11074410","4400272","64.4","4379257","68.2","4253923","72.9","4009176","75.4","1080496","94.5","3843241","56.3","3834421","59.7","3730100","63.9","3521359","66.2","991165","86.7","240501","1361363","2222413","489","14745","240459","1356461","2222288","14727","240438","1355997","2118689","14567","240159","1355043","1911508","14262","36297","491871","455857","7075","1846161","48","1845862","48.1","1825758","48.9","1772511","50.3","1221792","62.7","716413","72.3","760093","1056818","23373","5697",,"580716","47.5","390695","54.5","785","296113","407103","3315","680538","426090","254448","1363650","614200","672589","10.5","664023","11.4","647908","12.2","336824","29.5"
"2023-02-22T00:00:00.000","8","ME","4845030","159400","1817620","2861610","6400","0","360436","378318","408885","442319","1698430","3506700","3480197","3366691","3191938","1188763","145279","1406113","1949429","386","5493","260874","271747","284124","291403","416722","3511669","1310798","95","1298703","95","1248238","95","1176986","95","365552","95","1120522","83.4","1113507","86.9","1068254","90.2","1004057","91.7","303086","95","133089","404285","578076","123","1352","133070","401855","577113","1346","133067","401611","532157","1296","133003","401440","468357","1141","24817","140093","137710","452","682826","60.9","682570","61.3","668397","62.6","639161","63.7","432472","74.1","247529","81.7","298916","371896","11105","883",,"275791","63.8","179922","72.7","118","140728","206720","336","405669","269900","135769","526960","232600","395923","30.9","387478","32.7","375261","34.3","192895","67.6"
"2023-02-22T00:00:00.000","8","DC","2690335","73200","927380","1686855","2900","0","381203","407391","441216","465794","3080200","2100718","2071747","1990144","1897962","393310","43331","756399","1295297","213","5478","297658","313720","326385","328605","450305","1984017","830277","95","814666","95","772776","95","730484","95","114912","95","638600","90.5","629642","95","597965","95","565676","95","95284","95","44775","215157","374366","84","1408","44768","209142","374267","1382","44734","208793","343241","1114","44701","208496","311576","826","3157","49484","42418","218","324508","50.8","324240","51.5","313253","52.4","299790","53","142763","66.9","72640","76.2","128963","192955","2089","481",,"78451","55","43944","60.5","93","58731","83450","358","222968","146383","76585","278950","134800","215149","32.6","207992","34.1","200907","34.8","47590","54.5"
"2023-02-22T00:00:00.000","8","FM","288900","12800","128640","147460","0","0","282349","311244","365040","432978","6003740","204954","198046","167224","141529","11615","13871","106553","84363","0","167","200307","213363","211296","212111","241376","206432","85670","83.7","81281","87.6","67171","84.9","55943","83.8","4241","88.1","72585","70.9","71341","76.9","59622","75.3","50211","75.3","3926","81.6","12816","36073","23411","0","78","12812","35071","23380","78","12807","35000","11737","78","12779","34967","2387","78","1119","2655","150","2","40651","56","40641","57","36474","61.2","32282","64.3","10323","71.7","2847","72.5","22284","17841","515","11",,"5194","50.3","1428","50.2","4","5942","8767","0","14053","13414","639","34000","1000","14065","15.2","12955","16.4","10861","16.3","1051","21.8"
"2023-02-22T00:00:00.000","8","CA","118576495","3784900","42287680","72361415","142500","0","300101","319368","352421","387282","2031080","87738614","87077725","83556682","77675970","20067079","2313932","32829362","52572376","10053","12891","222054","234531","248339","253697","343725","88244633","33490086","84.8","33161447","89.3","31532943","93.7","29004164","94.7","6043580","95","29504730","74.7","29304819","78.9","27896867","82.9","25625115","83.7","5430882","93","2087710","10102954","17246913","3128","4648","2087178","10000836","17209045","4634","2086939","9985704","15816601","4537","2079377","9956943","13581650","4220","201650","2730995","2496431","1280","17335732","58.8","17320770","59.1","16931980","60.7","16024563","62.5","8755355","73.9","4422216","81.4","7114819","9981250","237487","1059",,"4989089","57","2868531","64.9","2640","3112808","4119181","201","7716214","4825982","2890232","9674590","4858200","7666619","20.6","7464173","22.2","7162104","23.4","2702903","46.3"
"2023-02-22T00:00:00.000","8","KY","11920095","395600","4736700","6776795","11000","0","266808","284146","313178","344034","1588150","7470428","7438972","7237521","6854873","2254660","241483","3040307","4185426","438","2774","167211","177327","190152","197843","300395","7553183","3077002","68.9","3061410","73","2960360","77.8","2779510","80.2","749885","95","2663542","59.6","2656105","63.3","2573163","67.6","2416852","69.8","671102","89.4","215562","1014233","1428156","205","2014","215539","1010861","1427487","2013","215526","1010352","1345091","1991","215385","1009786","1189615","1880","39076","306951","324156","891","1290569","48.5","1290263","48.6","1274837","49.5","1232500","51","847497","63.3","487611","72.7","564765","700811","24564","396",,"413107","48.7","273998","56.2","320","212681","289278","159","539915","332634","207281","934980","453600","536388","12.8","529146","13.9","515872","14.9","265316","35.3"
"2023-02-22T00:00:00.000","8","KS","8166065","262700","3040040","4842725","20600","0","280302","299344","333078","368994","1717410","5342313","5302110","5108831","4777965","1576822","139236","1999678","3193031","730","9638","183376","194360","208379","215898","331623","5469425","2220766","76.2","2201587","80.7","2106404","85.9","1953512","88.3","512407","95","1902333","65.3","1892232","69.4","1814994","74","1683717","76.1","461674","95","128419","666855","1098899","222","2311","128415","663001","1098306","2288","128402","662558","1021645","2168","128266","661996","891276","1970","18760","214704","227474","694","932353","49","932005","49.3","914202","50.4","873185","51.9","574045","64.4","337453","73.1","381167","538718","11642","778",,"302782","52.7","204728","60.7","255","150137","231867","372","439463","299090","140373","718670","295900","438352","16.1","428730","17.5","413048","18.7","204233","43"
"2023-02-22T00:00:00.000","8","MN","18012770","511500","6090920","11393650","16700","0","319396","340634","376987","415378","1957100","12706850","12568501","12015563","11256136","3607883","361345","4472413","7864098","1153","7841","225313","237679","251472","259569","391998","12722507","4445867","78.8","4379201","82.8","4133412","86.5","3831078","88.3","974161","95","4069225","72.2","4031088","76.2","3811791","79.8","3526922","81.3","918298","95","331905","1356696","2362339","441","2694","331890","1342206","2353877","2675","331885","1339694","2137187","2586","331302","1336926","1855802","2471","50907","386721","480003","609","2574680","63.3","2572911","63.8","2500491","65.6","2367480","67.1","1444606","78.8","792655","86.3","975058","1569317","29470","749",,"967617","67","594006","74.9","335","467686","883444","259","1446946","1034632","412314","2040010","745300","1435801","27.2","1392185","29.1","1333862","30.8","581123","63.1"
