Date,<12,12-15,16-17,18-24,25-39,40-49,50-64,65-74,75+
2021-03-17,0.00153141199467506,0.00360975684459121,0.106542520200965,2.7531506067126164,11.08654774887906,9.463907353949786,20.91449361127732,32.99700608955041,22.67321090059058
2021-03-18,0.00219572481921865,0.00334586639119033,0.15432808729365413,2.751452315130426,10.308405234607967,8.593857825772371,20.278146055432643,36.692234662339345,21.216034228213186
2021-03-19,0.00109611503946562,0.00449407166180905,0.13010885518456933,2.5869411046428143,9.807927761634438,7.998241831476697,19.790028203039967,38.043522343757026,21.637639713563217
2021-03-20,0.00217115907799369,0.00330393772738171,0.12989195179649254,2.7737029212473403,10.440820811409344,8.680388392039587,21.27537660170181,36.30102459828837,20.393319626711676
2021-03-21,0.00172216173394897,0.00430540433487243,0.20551130025124423,3.2742121588445445,12.056662948072995,10.014561834217057,22.27147392168757,34.47145899628587,17.7000912745719
2021-03-22,0.00165135720920631,0.00550452403068772,0.25761172463618537,3.460831871194138,12.524718753225306,10.463824956135824,23.42078645887089,33.41424983658444,16.450820518113325
2021-03-23,0.00170768818296854,0.00426922045742135,0.23702711979603372,3.4097409949332893,13.254221832110344,10.921349005357015,24.168057009462306,31.8710968651968,16.13253026450382
2021-03-24,0.0018309228217206,0.00451627629357748,0.24302448920304817,3.325566151851856,12.07322714794711,10.297476133921018,24.656183209461233,32.529395465902724,16.868780202597712
2021-03-25,0.00161068117854615,0.00418777106422,0.2144353542371116,3.115594293034448,11.727799175975507,9.914816441403955,24.369069337677164,33.468129451520106,17.18435749390894
2021-03-26,0.00120250326823209,0.00438054761998835,0.20296537305946036,3.3426155133228774,12.087476959178453,9.986703749576977,24.408583124756277,33.3515140375078,16.614558191709943
2021-03-27,0.00167249760148639,0.00456135709496289,0.22715558332915212,3.3425624791888078,11.957901714918222,9.913197374482856,25.140907922925223,33.17923548614184,16.232805584317447
2021-03-28,0.00103734439834024,0.00385299347954949,0.21465619442797867,3.5529045643153525,13.345954356846471,10.931831653823355,26.21087729697688,31.139448725548313,14.599436870183755
2021-03-29,0.00114660012216503,0.00740078260670156,0.3191717794608478,3.9797447876600818,14.27339950258402,11.478405350244644,27.974958253331916,29.141571759447466,12.824201184542163
2021-03-30,9.927092595665263e-4,0.00751622725100369,0.38573845514585026,4.059755424801565,14.096329670236166,11.3317761979519,27.643265673106516,29.74936927508115,12.72525636716628
2021-03-31,0.00131423191124053,0.00535080135290787,0.28049463934190777,3.8414998765560737,13.403006399370671,11.055788205895082,28.453120878357513,29.658177667257128,13.301247299957474
2021-04-01,0.00142825463525007,0.00548750465122397,0.2627236815894219,3.620475157765759,12.839708485711816,10.759944222897929,29.009204725267708,29.527661157863484,13.973366809617415
2021-04-02,0.00174548791374297,0.00498710832497992,0.2853872738969763,4.029957559708154,13.659876718682206,11.384570884264177,29.702032745353264,27.425978844686483,13.505463377170017
2021-04-03,0.00148516292534323,0.00730700159268872,0.3105178644307638,4.436300471034273,14.679647386677614,12.15659320258751,32.29617475496297,24.866320485089854,11.245653670698982
2021-04-04,0,0,0.7130801687763713,3.2995780590717296,14.107594936708862,12.879746835443036,38.40717299578059,22.55274261603375,8.040084388185655
2021-04-05,0,0.00482998454404945,0.18353941267387944,1.6083848531684697,12.306800618238022,10.732225656877898,38.156877897990725,26.965803709428133,10.041537867078826
2021-04-06,0.0015445171015798,0.00964465123430942,0.3948815389705691,5.271505512896375,16.743389123579217,13.256109766427826,32.98779625554138,21.73461626644224,9.600512367806498
2021-04-07,0.00175603082063137,0.01030713742544504,0.42243993611101777,5.518135980918816,16.57830523175026,13.331404244402842,34.58350002901268,20.01271977107466,9.541431638483644
2021-04-08,0.00147502234044253,0.01050953417565303,0.436483694242619,5.957430855254828,17.212834661058306,13.766506421878516,35.79449005404728,18.244182573348557,8.576087183653803
2021-04-09,0.00187868346283356,0.01243246409228093,0.45629905988469305,6.414819939241166,17.822627968734288,14.113443748349244,36.2451637714681,16.917655093608168,8.015679271159225
2021-04-10,0.00187433473448075,0.01277507095343461,0.4361280979547062,6.571318929892976,18.15140284089956,14.109153363000434,35.395923617900095,17.05245079131453,8.268972953349781
2021-04-11,0.00154937355507082,0.01433170538440511,0.5220835532890434,7.218310053995669,19.58878519153024,15.085420284177244,35.782118237122766,14.722866872290671,7.064534728654889
2021-04-12,0.00148424767937875,0.01803360930445185,0.5729938166241677,7.274594726171145,19.94012544861386,15.567457572780086,38.0657581091872,12.682154296451758,5.877398173187956
2021-04-13,0.00201287011649267,0.01724067012821982,0.6330914096829555,8.104865282103747,21.228865957727976,16.27729298724803,35.28955136625747,12.507099742965238,5.93997971376987
2021-04-14,0.00188067336465002,0.0218018801161281,0.6232690839588314,7.335531631532902,19.165036749750637,15.65347130510373,37.11439230567768,13.60109942771806,6.483516942777379
2021-04-15,0.00107700076826054,0.02710451933455712,0.7391216939068083,6.545532002479495,19.056571260354165,15.745930732097255,38.814090520717905,12.907495207346582,6.163077062994972
2021-04-16,0.00172950150187678,0.02281826175056794,0.7543973970444493,6.100732862313827,18.082105573234905,15.395799208223057,38.19436695781802,14.135383145952074,7.312667092161229
2021-04-17,0.00147379841498648,0.02737863978609516,0.8499282090118238,6.690648012157703,18.665430187586196,15.619315602026813,39.810639577496005,12.487040493745145,5.848145479775234
2021-04-18,0.00120342736112448,0.03243523268554557,0.9260660074176972,6.776671388686408,19.05701724224878,15.960827866334752,40.53315270461704,11.313707152255338,5.398918978393321
2021-04-19,0.00109851919612362,0.04823497924797373,1.362463399337693,7.62631972101607,21.697751431070916,17.181239688899364,38.045215050112446,9.763339019002384,4.2743381921170265
2021-04-20,6.324822651972839e-4,0.05009259540362488,1.4117004159203377,7.580805934201605,20.887979801046377,16.56369855389255,37.564513191050125,10.11086149144378,5.829715534776405
2021-04-21,8.739536391429534e-4,0.03940736409226408,1.282725591269362,7.337158601928419,20.081627269895954,16.845218043487932,38.133139686393655,10.986550647996898,5.293298841296376
2021-04-22,0.00138882826543285,0.03822584463905676,1.337573888970455,7.689413028267285,21.02487589827428,17.28198372293273,38.23583097563202,9.702354262313946,4.688353550704797
2021-04-23,0.00102297604190109,0.04086220967371611,1.3771530804081902,7.975746374686571,21.01601980481617,17.266812611248643,37.209275892091945,10.277101476950076,4.8360055740827885
2021-04-24,6.208095356344674e-4,0.05141431699663634,1.5531525836964128,8.294128270537508,21.281971691085175,17.365735828611417,37.49599295663363,9.39713750366842,4.559846039235162
2021-04-25,0.00112992931664385,0.06597531732181643,1.675434081179144,8.425506271107707,22.97290680594092,18.2612898770888,37.32658723682063,7.677869706595021,3.5933007746293204
2021-04-26,7.50255086729488e-4,0.07605710941720185,2.08992932597083,8.90852889982594,23.830539883560412,19.081612748334432,35.85009528239602,6.988626132885181,3.173860362523258
2021-04-27,0.00103289646116761,0.0812114842593035,2.2171122538962793,9.28225316034039,24.271001044516545,18.55727604545261,34.55451821190129,7.5343341239295,3.501260779242913
